ari,nmi,purity,init,seed
0.42422775166045035,0.6587452072793778,0.6857120253164557,random_avg,avg
0.47709092984682167,0.6880325709672017,0.7194462025316455,stratified_avg,avg
0.6555358755076519,0.798230327743501,0.8378164556962026,cip_mean,0
0.471483146634938,0.6817263396003762,0.7199367088607594,random,0
0.46194973738928585,0.6838941211365023,0.6993670886075949,random,1
0.4534227099852221,0.6753591903286134,0.7310126582278481,random,2
0.4163637593817698,0.6614534661148664,0.7088607594936709,random,3
0.42993678049666645,0.6629320023437432,0.6938291139240507,random,4
0.4275490520801141,0.6663827543445231,0.692246835443038,random,5
0.43125272976516354,0.6508070911363878,0.6661392405063291,random,6
0.4298275156486976,0.6708491373622539,0.6811708860759493,random,7
0.4447397368570892,0.6800479352796034,0.7009493670886076,random,8
0.42526319405809765,0.6581616618945482,0.6764240506329114,random,9
0.45832549958433066,0.6793938981307394,0.7191455696202531,random,10
0.46733337090021754,0.6875961206321659,0.7136075949367089,random,11
0.3621227339296329,0.6290074171449307,0.6463607594936709,random,12
0.40437377906598027,0.641312097847809,0.6590189873417721,random,13
0.3736528986878092,0.6148918739802198,0.6511075949367089,random,14
0.37968530599970235,0.62428739899594,0.6661392405063291,random,15
0.4329167890578549,0.668944140018617,0.6993670886075949,random,16
0.3939708990361273,0.6452364985559962,0.6685126582278481,random,17
0.41443657993587457,0.6326287392357465,0.6392405063291139,random,18
0.44727312686730886,0.6673065876380925,0.694620253164557,random,19
0.4688310295955735,0.6896308879120918,0.7278481012658228,random,20
0.42920140858042793,0.6506662569371534,0.6843354430379747,random,21
0.38784538333950946,0.6158337086940917,0.6526898734177216,random,22
0.4507583951822553,0.6750480752965305,0.6914556962025317,random,23
0.4281350525092703,0.6560989024099634,0.6724683544303798,random,24
0.4488336879896511,0.6615885238737442,0.6875,random,25
0.39444903556111405,0.6393395003159208,0.6661392405063291,random,26
0.42640847788825276,0.6719054115297262,0.7159810126582279,random,27
0.37005679121133617,0.617026425424845,0.6368670886075949,random,28
0.420138178312024,0.655597609824687,0.6795886075949367,random,29
0.4087964231952432,0.6508777339749816,0.6890822784810127,random,30
0.45307040714471225,0.6940605877021887,0.7294303797468354,random,31
0.34672908139253744,0.60724012926552,0.6337025316455697,random,32
0.4068053104435098,0.6449611762411884,0.6819620253164557,random,33
0.41844331483407404,0.6528924083136253,0.6708860759493671,random,34
0.40333127959237397,0.6650790707174669,0.6835443037974683,random,35
0.44349089932620034,0.6898407611422352,0.7246835443037974,random,36
0.4309674260088354,0.6608509536345015,0.7064873417721519,random,37
0.4471353024129149,0.6616022884231703,0.6930379746835443,random,38
0.43395841671406443,0.6443285925466478,0.6867088607594937,random,39
0.4066317496518933,0.6418622728078203,0.6621835443037974,random,40
0.45107676271867514,0.6907820471859504,0.7049050632911392,random,41
0.4177830738807722,0.6631213435594567,0.6938291139240507,random,42
0.504645053554114,0.6951512924222634,0.7215189873417721,random,43
0.4334571229874965,0.6518614759998737,0.6629746835443038,random,44
0.44458917438046114,0.6709581569090687,0.7136075949367089,random,45
0.42464151709292963,0.656575125925504,0.682753164556962,random,46
0.4377474134322778,0.6568270536534858,0.6787974683544303,random,47
0.4167818296639113,0.6519734772899971,0.6685126582278481,random,48
0.46853310190589303,0.6837524431190796,0.7001582278481012,random,49
0.4971381852639228,0.6925284160843793,0.7436708860759493,random,50
0.372597505277441,0.6383486452567547,0.6558544303797469,random,51
0.4520399140890757,0.6619436330490625,0.7080696202531646,random,52
0.4243093511664204,0.6486881732545637,0.6511075949367089,random,53
0.4216537308754021,0.6568278674062217,0.7056962025316456,random,54
0.3864266318675142,0.6569911924046242,0.6938291139240507,random,55
0.45050844147057734,0.6856700005309849,0.6985759493670886,random,56
0.3911204048410019,0.6308441072163641,0.6542721518987342,random,57
0.40608449882835024,0.6348731132783532,0.6511075949367089,random,58
0.4028585372331154,0.6465469957023302,0.6700949367088608,random,59
0.39925652895775243,0.6373345884208685,0.6811708860759493,random,60
0.45193463392737,0.6711945820335211,0.692246835443038,random,61
0.4270535028711749,0.6707832962831526,0.6985759493670886,random,62
0.3663112055535261,0.6174061329705061,0.632120253164557,random,63
0.42657738222947517,0.6652056507585494,0.6756329113924051,random,64
0.4573455855543012,0.6892252528208337,0.7001582278481012,random,65
0.40001302289367485,0.6586405944290135,0.6811708860759493,random,66
